Time,U_y,U_b
-1.080000e-03,-2.283600e+00,-5.272000e-01
-1.075000e-03,-2.277200e+00,-5.208000e-01
-1.070000e-03,-2.277733e+00,-5.260000e-01
-1.065000e-03,-2.279467e+00,-5.134667e-01
-1.060000e-03,-2.269600e+00,-5.134667e-01
-1.055000e-03,-2.281867e+00,-5.145333e-01
-1.050000e-03,-2.285867e+00,-5.237333e-01
-1.045000e-03,-2.277733e+00,-5.208000e-01
-1.040000e-03,-2.281333e+00,-5.294667e-01
-1.035000e-03,-2.278400e+00,-5.180000e-01
-1.030000e-03,-2.281333e+00,-5.180000e-01
-1.025000e-03,-2.276667e+00,-5.140000e-01
-1.020000e-03,-2.274267e+00,-5.065333e-01
-1.015000e-03,-2.280133e+00,-5.180000e-01
-1.010000e-03,-2.280133e+00,-5.134667e-01
-1.005000e-03,-2.281333e+00,-5.202667e-01
-1.000000e-03,-2.276667e+00,-5.202667e-01
-9.950000e-04,2.508933e+00,-1.370667e-01
-9.900000e-04,2.383600e+00,1.180000e-01
-9.850000e-04,2.299467e+00,2.592000e-01
-9.800000e-04,2.258267e+00,3.558667e-01
-9.750000e-04,2.224000e+00,4.118667e-01
-9.700000e-04,2.203733e+00,4.450667e-01
-9.650000e-04,2.200267e+00,4.565333e-01
-9.600000e-04,2.170133e+00,4.678667e-01
-9.550000e-04,2.178800e+00,4.753333e-01
-9.500000e-04,2.174667e+00,4.782667e-01
-9.450000e-04,2.176533e+00,4.770667e-01
-9.400000e-04,2.177067e+00,4.725333e-01
-9.350000e-04,2.178800e+00,4.890667e-01
-9.300000e-04,2.172400e+00,4.896000e-01
-9.250000e-04,2.170667e+00,4.896000e-01
-9.200000e-04,2.165467e+00,4.748000e-01
-9.150000e-04,2.178267e+00,5.045334e-01
-9.100000e-04,2.181733e+00,4.942667e-01
-9.050000e-04,2.174667e+00,4.913333e-01
-9.000000e-04,2.177067e+00,4.862667e-01
-8.950000e-04,2.186400e+00,4.890667e-01
-8.900000e-04,2.178267e+00,4.873333e-01
-8.850000e-04,2.172400e+00,4.908000e-01
-8.800000e-04,2.167733e+00,4.976000e-01
-8.750000e-04,2.190933e+00,5.033333e-01
-8.700000e-04,2.185200e+00,5.000000e-01
-8.650000e-04,2.183467e+00,4.828000e-01
-8.600000e-04,2.181733e+00,4.885333e-01
-8.550000e-04,2.178800e+00,4.770667e-01
-8.500000e-04,2.181733e+00,4.953333e-01
-8.450000e-04,2.184000e+00,4.880000e-01
-8.400000e-04,2.172400e+00,4.953333e-01
-8.350000e-04,2.185733e+00,4.902667e-01
-8.300000e-04,2.173600e+00,4.976000e-01
-8.250000e-04,2.178267e+00,4.976000e-01
-8.200000e-04,2.190933e+00,4.908000e-01
-8.150000e-04,2.175333e+00,4.948000e-01
-8.100000e-04,2.178267e+00,4.965333e-01
-8.050000e-04,2.184533e+00,4.890667e-01
-8.000000e-04,2.179333e+00,5.000000e-01
-7.950000e-04,2.183467e+00,4.896000e-01
-7.900000e-04,2.181733e+00,4.930667e-01
-7.850000e-04,2.174667e+00,4.880000e-01
-7.800000e-04,2.190933e+00,4.908000e-01
-7.750000e-04,2.174133e+00,4.833333e-01
-7.700000e-04,2.180533e+00,4.953333e-01
-7.650000e-04,2.175333e+00,5.005333e-01
-7.600000e-04,2.179333e+00,4.908000e-01
-7.550000e-04,2.155067e+00,4.976000e-01
-7.500000e-04,2.177067e+00,4.953333e-01
-7.450000e-04,2.182267e+00,4.828000e-01
-7.400000e-04,2.188667e+00,4.953333e-01
