erro, temperatura atual, integral
1.01, 300.14, 188.27
1.01, 300.14, 188.37
0.92, 300.23, 188.47
0.92, 300.23, 188.56
0.92, 300.23, 188.66
0.92, 300.23, 188.75
0.92, 300.23, 188.84
0.92, 300.23, 188.94
0.92, 300.23, 189.03
1.01, 300.14, 189.13
0.92, 300.23, 189.23
0.92, 300.23, 189.32
0.92, 300.23, 189.41
0.92, 300.23, 189.5
0.92, 300.23, 189.6
0.92, 300.23, 189.69
0.92, 300.23, 189.78
0.92, 300.23, 189.88
0.92, 300.23, 189.97
0.92, 300.23, 190.06
0.92, 300.23, 190.16
0.92, 300.23, 190.25
0.92, 300.23, 190.34
0.92, 300.23, 190.43
0.92, 300.23, 190.53
0.83, 300.32, 190.62
0.83, 300.32, 190.7
0.83, 300.32, 190.78
0.92, 300.23, 190.87
0.92, 300.23, 190.97
0.92, 300.23, 191.06
0.83, 300.32, 191.15
0.83, 300.32, 191.23
0.83, 300.32, 191.31
0.83, 300.32, 191.4
0.83, 300.32, 191.48
0.83, 300.32, 191.57
0.83, 300.32, 191.65
0.83, 300.32, 191.73
0.83, 300.32, 191.82
0.92, 300.23, 191.91
0.92, 300.23, 192.0
0.83, 300.32, 192.09
0.83, 300.32, 192.17
0.83, 300.32, 192.26
0.83, 300.32, 192.34
