erro, temperatura atual, integral
2.69, 298.46, 105.22
2.69, 298.46, 105.5
2.69, 298.46, 105.77
2.6, 298.55, 106.04
2.6, 298.55, 106.3
2.6, 298.55, 106.56
2.6, 298.55, 106.83
2.6, 298.55, 107.09
2.6, 298.55, 107.36
2.69, 298.46, 107.63
2.6, 298.55, 107.9
2.69, 298.46, 108.16
2.6, 298.55, 108.43
2.6, 298.55, 108.7
2.6, 298.55, 108.96
2.6, 298.55, 109.22
2.6, 298.55, 109.49
2.6, 298.55, 109.75
2.6, 298.55, 110.02
2.6, 298.55, 110.28
2.6, 298.55, 110.54
2.6, 298.55, 110.81
2.6, 298.55, 111.07
2.6, 298.55, 111.34
2.6, 298.55, 111.6
2.6, 298.55, 111.86
2.6, 298.55, 112.13
2.6, 298.55, 112.4
2.6, 298.55, 112.66
2.6, 298.55, 112.92
2.6, 298.55, 113.19
2.6, 298.55, 113.45
2.6, 298.55, 113.72
2.6, 298.55, 113.98
2.6, 298.55, 114.25
2.6, 298.55, 114.51
2.6, 298.55, 114.77
2.52, 298.63, 115.03
2.6, 298.55, 115.29
2.6, 298.55, 115.56
2.6, 298.55, 115.82
2.6, 298.55, 116.09
2.6, 298.55, 116.35
2.6, 298.55, 116.62
2.6, 298.55, 116.88
2.6, 298.55, 117.15
2.52, 298.63, 117.4
2.52, 298.63, 117.66
2.52, 298.63, 117.91
2.6, 298.55, 118.17
2.6, 298.55, 118.44
2.6, 298.55, 118.7
2.52, 298.63, 118.97
2.52, 298.63, 119.22
2.52, 298.63, 119.47
2.52, 298.63, 119.73
2.52, 298.63, 119.98
2.52, 298.63, 120.24
2.52, 298.63, 120.49
2.52, 298.63, 120.75
2.52, 298.63, 121.01
2.52, 298.63, 121.26
2.52, 298.63, 121.52
2.52, 298.63, 121.77
2.52, 298.63, 122.03
2.52, 298.63, 122.28
2.52, 298.63, 122.54
2.52, 298.63, 122.79
2.52, 298.63, 123.05
2.52, 298.63, 123.3
2.52, 298.63, 123.56
2.52, 298.63, 123.81
2.52, 298.63, 124.07
2.52, 298.63, 124.32
2.52, 298.63, 124.58
2.52, 298.63, 124.84
2.52, 298.63, 125.09
2.52, 298.63, 125.35
2.52, 298.63, 125.6
2.52, 298.63, 125.86
2.52, 298.63, 126.11
2.52, 298.63, 126.37
2.52, 298.63, 126.62
2.52, 298.63, 126.88
2.43, 298.72, 127.13
2.52, 298.63, 127.38
2.52, 298.63, 127.64
2.43, 298.72, 127.89
2.52, 298.63, 128.14
2.52, 298.63, 128.39
2.52, 298.63, 128.65
2.43, 298.72, 128.9
2.52, 298.63, 129.15
2.52, 298.63, 129.4
2.52, 298.63, 129.66
2.43, 298.72, 129.91
2.43, 298.72, 130.16
